日期,电影,总票房(元),今日票房(元),有效场次,废场,人次,上座率,操作
2019-11-13,决战中途岛,64764399.99999999,http://img.58921.com/sites/all/movie/files/protec/6f0bbcce08ff4a6e43d327bb7413d7ef.png,http://img.58921.com/sites/all/movie/files/protec/fb4946c04fd54e6d9a5689160e06bdab.png,41096,224089,http://img.58921.com/sites/all/movie/files/protec/d592a392cc3c1ffa40f1650241883dea.png,http://58921.com/content/film/9649/schedule/wangpiao/20191113
2019-11-13,少年的你,469000000.00000006,http://img.58921.com/sites/all/movie/files/protec/cf6e7d6ccb6f0b18e2a1d859f3333c02.png,http://img.58921.com/sites/all/movie/files/protec/2a7ad8070a6489745490ee5bb0ddede1.png,45493,189182,http://img.58921.com/sites/all/movie/files/protec/26f90291faec6b290ab9c366066d4079.png,http://58921.com/content/film/9240/schedule/wangpiao/20191113
2019-11-13,受益人,57319500.0,http://img.58921.com/sites/all/movie/files/protec/7fe80d921e645f66d9d434f597aef816.png,http://img.58921.com/sites/all/movie/files/protec/93626bfdc321b0a8badf1bb597ab23e8.png,37328,180026,http://img.58921.com/sites/all/movie/files/protec/7f26f3317a4a450cea977dff8ed46e8a.png,http://58921.com/content/film/9570/schedule/wangpiao/20191113
2019-11-13,终结者：黑暗命运,153000000.0,http://img.58921.com/sites/all/movie/files/protec/5bdaa7cc1f3a014d9b84312137986fe9.png,http://img.58921.com/sites/all/movie/files/protec/fba66d8568751bc05067dfd9df06b985.png,20897,96047,http://img.58921.com/sites/all/movie/files/protec/5ef63f740b8d588017e610718add8c7e.png,http://58921.com/content/film/9617/schedule/wangpiao/20191113
2019-11-13,天气之子,96709300.0,http://img.58921.com/sites/all/movie/files/protec/ff837cb8c8814495c5b2acda731492d7.png,http://img.58921.com/sites/all/movie/files/protec/5e181a8acef336d309f1613c7af35211.png,19492,65339,http://img.58921.com/sites/all/movie/files/protec/61f9e871ce5f598790398a05e3214426.png,http://58921.com/content/film/9589/schedule/wangpiao/20191113
2019-11-13,为国而歌,20661000.0,http://img.58921.com/sites/all/movie/files/protec/556d04473a069e042fb45506d5902d36.png,http://img.58921.com/sites/all/movie/files/protec/e379ce6010a51ae6148ad7d18ceabd20.png,1930,21633,http://img.58921.com/sites/all/movie/files/protec/03e22ed11b433b2914030ddf5ce3f2c9.png,http://58921.com/content/film/9558/schedule/wangpiao/20191113
2019-11-13,中国机长,674000000.0,http://img.58921.com/sites/all/movie/files/protec/e29c3c29e4dc00165d89e3451963f3a7.png,http://img.58921.com/sites/all/movie/files/protec/d5efbb4a09635468d0c5e7af90528a61.png,5452,19635,http://img.58921.com/sites/all/movie/files/protec/4e71e60e4e74a8429d2baef20326d8de.png,http://58921.com/content/film/9133/schedule/wangpiao/20191113
2019-11-13,我和我的祖国,758000000.0,http://img.58921.com/sites/all/movie/files/protec/c7bb550980b72e3572ae370055d94d90.png,http://img.58921.com/sites/all/movie/files/protec/ed892d161164b934e6365c34928304e7.png,1653,14727,http://img.58921.com/sites/all/movie/files/protec/842294a2374e3fe585cc367d8f74ff0d.png,http://58921.com/content/film/9134/schedule/wangpiao/20191113
2019-11-13,他们已不再变老,2387800.0,http://img.58921.com/sites/all/movie/files/protec/ce04c2357701d30d1cfc6f96cbcd3173.png,http://img.58921.com/sites/all/movie/files/protec/872387966c72e263e7f1ddbd8ce8c55e.png,2392,13793,http://img.58921.com/sites/all/movie/files/protec/e6cc5d643c6c550548b1d547d8ee89fe.png,http://58921.com/content/film/9594/schedule/wangpiao/20191113
2019-11-13,我的拳王男友,19375200.0,http://img.58921.com/sites/all/movie/files/protec/b4889345c2037e8cffc4a58705f2d129.png,http://img.58921.com/sites/all/movie/files/protec/a61820dc6cc2e9f0334d77d6fc1e9624.png,3563,8728,http://img.58921.com/sites/all/movie/files/protec/549e31d9260917df5107c02c26ba915f.png,http://58921.com/content/film/9565/schedule/wangpiao/20191113
2019-11-13,小巷管家,7470400.0,http://img.58921.com/sites/all/movie/files/protec/66fd7d085338ce9f7371270f57e17d95.png,http://img.58921.com/sites/all/movie/files/protec/301c20ccf51464726192056464ee266c.png,245,8281,http://img.58921.com/sites/all/movie/files/protec/342a81db8b29dbd075acf12ddcb22651.png,http://58921.com/content/film/9647/schedule/wangpiao/20191113
